driverId,year,points
292,1974,0.0
292,1975,0.0
293,1965,0.0
293,1967,0.0
293,1968,0.0
293,1970,0.0
293,1971,0.0
293,1972,0.0
293,1973,0.0
293,1974,0.0
293,1975,0.0
294,1975,1.0
295,1975,0.0
296,1972,0.0
296,1974,0.0
296,1975,0.0
297,1975,0.0
298,1971,0.0
298,1973,1.0
298,1974,0.0
298,1975,1.0
299,1975,0.0
300,1974,0.0
300,1975,0.0
301,1975,0.0
302,1975,0.0
303,1975,0.0
304,1965,5.0
304,1966,18.0
304,1967,51.0
304,1968,33.0
304,1969,20.0
304,1970,27.0
304,1971,9.0
304,1972,39.0
304,1973,26.0
304,1974,20.0
305,1963,0.0
305,1964,1.0
305,1965,0.0
305,1971,3.0
305,1972,13.0
305,1973,0.0
305,1974,12.0
306,1967,0.0
306,1968,11.0
306,1969,21.0
306,1970,16.0
306,1971,1.0
306,1972,9.0
306,1973,9.0
306,1974,10.0
307,1971,5.0
307,1972,4.0
307,1973,1.0
307,1974,0.0
308,1974,0.0
309,1964,0.0
309,1971,0.0
309,1972,23.0
309,1973,38.0
309,1974,0.0
310,1963,0.0
310,1974,0.0
311,1974,0.0
312,1968,4.0
312,1970,0.0
312,1971,0.0
312,1972,4.0
312,1973,0.0
312,1974,0.0
313,1973,0.0
313,1974,0.0
314,1970,0.0
314,1971,5.0
314,1972,2.0
314,1973,0.0
314,1974,0.0
315,1974,0.0
316,1974,0.0
317,1970,4.0
317,1971,9.0
317,1972,0.0
317,1973,0.0
317,1974,0.0
318,1974,0.0
319,1974,0.0
320,1970,1.0
320,1971,9.0
320,1972,1.0
320,1973,0.0
320,1974,0.0
321,1968,0.0
321,1969,0.0
321,1970,1.0
321,1971,0.0
321,1972,0.0
321,1974,0.0
322,1967,0.0
322,1968,0.0
322,1971,0.0
322,1974,0.0
323,1974,0.0
324,1974,0.0
325,1974,0.0
326,1967,0.0
326,1974,0.0
327,1970,1.0
327,1971,26.0
327,1972,15.0
